material_id,band_gap,density,formation_energy
mp-1018134,0.0,0.5649380290750841,0.0
mp-1063005,0.0,0.5643236945722541,0.015670883333333
mp-10173,0.0,0.573292417154018,0.005987748333333
mp-976411,0.0,0.5659385321116011,0.005889090833333
mp-604313,0.0,0.521616949788403,0.26179874416666604
mp-567337,0.0,0.570042740991187,0.008819463333333001
mp-51,0.0,0.5664547498885351,0.001672373333333
mp-135,0.0,0.5666126169854631,0.009650863333333001
mp-1103107,0.0,0.570192381038717,0.055379472500000006
mp-1143546,2.2075,0.234823623937765,-0.24543709558333202
mp-1236127,0.08889999999999901,1.902559815234679,-0.411361199259259
mp-1232999,0.152099999999999,1.985847494723534,-0.410251224814815
mp-1546006,2.2075,0.234823623609684,-0.24543709558333202
mp-995393,2.1989,0.212291455515833,-0.612184769666665
mp-569073,0.0,5.092956930678413,-0.325866989166666
mp-1001825,0.0,1.187993108073793,0.16695820083333301
mp-2475638,0.0,1.158476023387466,0.162175150833332
mp-1101854,0.0,2.507896908666866,0.735385138958333
mp-1057216,0.0,1.9329070331284801,-0.8758943804166651
mp-1103120,0.0,2.528226080525894,0.6535928172916651
mp-1094135,0.0,2.351848252569968,-0.809117267777778
mp-1094600,0.0,1.4291499274841262,-0.027757740555555
mp-1094568,0.0,1.238128792846922,-0.031319675833332006
mp-1235252,0.0,1.9977602742550662,-0.41782946370370305
mp-1236522,0.2727,1.777777671752737,-0.357006413703703
mp-2659,3.6364,1.931723590704999,-0.205821525729167
mp-973455,0.0,1.485496552120324,-0.045103938888888
mp-976262,0.0,1.273734740890411,-0.041007314166667
mp-1180489,0.0,1.351976984668744,0.9612698310416651
mp-1180520,0.4295,1.624024698020643,-0.9732557729166661
mp-1094673,0.0,1.279761773169139,-0.051512453333331
mp-1222412,0.1282,1.765330103074422,-0.161667837291667
mp-22902,0.0,7.527518229473442,-0.415156415833333
mp-1222413,0.09189999999999901,1.78034894226488,-0.285529338541667
mp-1094567,0.0,1.512301101929622,-0.013500748333333002
mp-1183341,0.0,3.16775462066498,0.11264549166666601
mp-1184918,0.0,0.888496456235619,0.12250388941666601
mp-1185469,0.0,7.807202605788617,0.218127964583327
mp-1185266,0.0,7.242594201128479,0.06232831833333301
mp-1185461,0.0,6.137243419841,-0.12917458208333302
mp-1185431,0.0,2.67652628427068,0.23659022416666703
mp-1185471,0.0,6.917399031878562,0.182200714166665
mp-1185332,0.0,5.567849324715847,-0.158397344166665
mp-1185275,0.0,9.339186229763522,-0.11555884833333001
mp-1185455,0.0,9.568696944553352,-0.078609514166668
mp-1185337,0.0,11.467979488473105,-0.187883509791667
mp-1185257,0.0,3.806083413096016,0.193428984166667
mp-1185411,0.0,4.96072722806257,0.096557981666666
mp-1185253,0.0,9.85299574839074,-0.081129934166668
mp-1185336,0.0,5.152669948805963,0.005574185416666
mp-862716,0.0,8.287157330778992,-0.128797530416665
mp-862658,0.0,7.085672707099158,-0.011274624166665002
mp-865939,0.0,1.49661688061598,-0.055750262222222007
mp-972285,0.0,2.343892916688241,0.09470025166666701
mp-973741,0.0,7.200240648935541,0.198104051666668
mp-973748,0.0,6.341089116674805,-0.196137001666667
mp-974959,0.0,1.569719864232397,0.147673773541666
mp-976272,0.0,1.405400504088731,0.070148831770832
mp-975906,0.0,2.285029235514105,-0.07758537916666601
mp-975909,0.0,15.100247536063932,-0.37749018416666
mp-7943,0.3285,3.784026537081356,-0.588209097083334
mp-9588,0.8094999999999991,2.026625484183503,-0.616667199821428
mp-1018026,0.0,5.810633866201821,-0.16617734083333402
mp-13444,0.0,4.974479891926454,-0.325685672499999
mp-8490,0.0,4.239777320608211,-0.247402372708333
mp-27687,1.688199999999999,2.189873519980373,-0.19070094749999902
mp-1094570,0.0,1.44459685273746,-0.024159343888888
mp-1094605,0.0,1.434698532300171,-0.022746248888889
mp-1094592,0.0,1.221338524395252,-0.011370675833333
mp-1180507,0.0,2.389959714762332,0.113220592291665
mp-1094853,0.0,1.204116675467886,-0.008829643333333
mp-1094559,0.0,1.409734331724788,-0.009191603888888001
mp-2750540,0.509599999999999,5.424430316925462,-0.449920973958334
mp-1094129,0.07400000000000001,2.237804733376227,-0.534496061111111
mp-1094578,0.0,1.233730194359322,-0.022810885833333003
mp-1222403,0.0,10.494755470169604,-0.42561290333333
mp-1105976,0.0,2.418965718516178,0.016677116583333002
mp-1185301,0.0,2.208489907016897,-3.164539748333333
mp-1185319,5.7373,1.660108131603423,-2.021952504583333
mp-570935,4.3818,3.409051003868403,-1.422324364166667
mp-976280,4.9348,2.903220847578415,-1.8358945341666661
mp-1023493,0.0,1.730931314079648,0.002009268645832
mp-1016274,0.0,1.671212244010234,-0.005217091458333
mp-1094580,0.0,1.202496228968571,-0.007743540833333001
mp-1094581,0.0,1.434126832089159,-0.017098953888888
mp-1094588,0.0,1.61840307232243,-0.010875251944444001
mp-11807,0.0,12.315461355315577,-0.6548987983333311
mp-1094982,0.0,1.2337755912714061,-0.018473590833333
mp-1094665,0.0,1.528315299602888,-0.020469882916666002
mp-1185249,0.0,10.309601263736626,0.340359908333333
mp-1185271,0.0,8.711347113955767,0.279126033333334
mp-1185402,0.0,3.9231260695105563,0.376647249367815
mp-1222288,0.0,5.6366309797181255,-0.085933486666663
mp-1222405,0.0,7.095069822985021,-0.10884519166666501
mp-600561,0.0,6.920097842919409,-0.18600633833333302
mp-279,0.0,12.45683302362025,-0.28409317833333203
mp-2744,0.0,6.86800390931238,-0.416655163333333
mp-866755,0.5707,1.794488779442545,0.007047052522221001
